tract,Community_Name
554521,Cerritos
554522,Cerritos
403801,Charter Oak
403802,Charter Oak
113101,Chatsworth
113102,Chatsworth
113211,Chatsworth
113212,Chatsworth
113213,Chatsworth
113235,Chatsworth
113237,Chatsworth
113303,Chatsworth
113321,Chatsworth
113322,Chatsworth
980023,Chatsworth
197700,Chinatown
206010,Chinatown
206020,Chinatown
207101,Chinatown
207102,Chinatown
207103,Chinatown
404000,Citrus
404100,Citrus
400205,Claremont
400206,Claremont
401701,Claremont
401800,Claremont
401901,Claremont
401902,Claremont
402001,Claremont
402002,Claremont
532302,Commerce
532303,Commerce
541200,Compton
541300,Compton
541603,Compton
541604,Compton
541605,Compton
541606,Compton
542000,Compton
542105,Compton
542106,Compton
542200,Compton
542401,Compton
542402,Compton
542501,Compton
542502,Compton
542601,Compton
542602,Compton
542700,Compton
542800,Compton
542900,Compton
543000,Compton
543100,Compton
543201,Compton
543202,Compton
403500,Covina
403600,Covina
403702,Covina
403721,Covina
403722,Covina
405701,Covina
405702,Covina
405800,Covina
405900,Covina
406000,Covina
406101,Covina
406102,Covina
534301,Cudahy
534302,Cudahy
534403,Cudahy
534404,Cudahy
534405,Cudahy
534406,Cudahy
702400,Culver City
702501,Culver City
702502,Culver City
702600,Culver City
702700,Culver City
702801,Culver City
702802,Culver City
702803,Culver City
703001,Culver City
185203,Cypress Park
185204,Cypress Park
185310,Cypress Park
185320,Cypress Park
602200,Del Aire
602301,Del Aire
275101,Del Rey
275102,Del Rey
275200,Del Rey
275302,Del Rey
275311,Del Rey
275400,Del Rey
275500,Del Rey
275602,Del Rey
275603,Del Rey
403304,Diamond Bar
403305,Diamond Bar
403316,Diamond Bar
403319,Diamond Bar
403320,Diamond Bar
403321,Diamond Bar
403322,Diamond Bar
403323,Diamond Bar
403324,Diamond Bar
403325,Diamond Bar
550400,Downey
550500,Downey
550601,Downey
550602,Downey
550700,Downey
550800,Downey
550901,Downey
550902,Downey
551000,Downey
551101,Downey
551102,Downey
551201,Downey
551202,Downey
551300,Downey
551401,Downey
551402,Downey
551501,Downey
551502,Downey
551600,Downey
551700,Downey
551800,Downey
553400,Downey
206031,Downtown Los Angeles
207400,Downtown Los Angeles
207501,Downtown Los Angeles
207502,Downtown Los Angeles
207710,Downtown Los Angeles
207900,Downtown Los Angeles
209200,Downtown Los Angeles
224010,Downtown Los Angeles
226001,Downtown Los Angeles
226002,Downtown Los Angeles
430002,Duarte
430003,Duarte
430101,Duarte
430102,Duarte
181000,Eagle Rock
181300,Eagle Rock
181400,Eagle Rock
181500,Eagle Rock
181600,Eagle Rock
183402,Eagle Rock
186201,Eagle Rock
530301,East Los Angeles
530302,East Los Angeles
530400,East Los Angeles
530500,East Los Angeles
530601,East Los Angeles
530602,East Los Angeles
530700,East Los Angeles
530801,East Los Angeles
530802,East Los Angeles
530901,East Los Angeles
530902,East Los Angeles
531000,East Los Angeles
531101,East Los Angeles
531102,East Los Angeles
531201,East Los Angeles
531202,East Los Angeles
531301,East Los Angeles
531302,East Los Angeles
531502,East Los Angeles
531503,East Los Angeles
531504,East Los Angeles
531602,East Los Angeles
531603,East Los Angeles
531604,East Los Angeles
531701,East Los Angeles
531702,East Los Angeles
531800,East Los Angeles
531901,East Los Angeles
531902,East Los Angeles
463101,East Pasadena
463102,East Pasadena
480002,East San Gabriel
480011,East San Gabriel
480012,East San Gabriel
480102,East San Gabriel
481202,East San Gabriel
195600,Echo Park
